epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.680952,1.06326,3.43672,1.2237,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,1.31501,1.52337,2.50648,1.72801,0.58198,0.85,0.84748,0.63282,1.66221,1.05763,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,1.90597,1.30852,2.24715,1.85017,0.57698,0.85,0.84867,0.63544,1.67436,1.05531,1.38372,2.33288e-06,2.33288e-06,2.33288e-06
4,2.47067,1.72438,2.9843,1.89119,0.57562,0.85,0.8505,0.6361,1.68089,1.04959,1.38079,3.46397e-06,3.46397e-06,3.46397e-06
5,3.02603,1.36355,3.15606,1.67178,0.61659,0.92309,0.90478,0.64243,1.67872,1.04624,1.37582,4.5715e-06,4.5715e-06,4.5715e-06
6,3.58992,1.53589,4.11918,1.92007,0.55772,0.85,0.85624,0.63746,1.64687,1.04235,1.35528,5.65548e-06,5.65548e-06,5.65548e-06
7,4.16191,1.11587,1.91942,1.31309,0.56996,0.85,0.85837,0.62959,1.65397,1.04268,1.35898,6.71588e-06,6.71588e-06,6.71588e-06
8,4.73859,0.9697,2.98114,1.34092,0.55982,0.85,0.85926,0.63096,1.653,1.05288,1.36023,7.75273e-06,7.75273e-06,7.75273e-06
9,5.37183,1.12866,2.38049,1.39969,0.57026,0.86556,0.86032,0.62965,1.63311,1.04508,1.3488,8.76602e-06,8.76602e-06,8.76602e-06
10,5.93187,1.1686,2.38773,1.61715,0.57354,0.86667,0.89572,0.6341,1.62354,1.04388,1.34236,9.75574e-06,9.75574e-06,9.75574e-06
11,6.53787,1.11728,1.92695,1.3479,0.5478,0.86667,0.89537,0.64185,1.62276,1.04542,1.34284,1.07219e-05,1.07219e-05,1.07219e-05
12,7.1143,0.96199,1.93936,1.31892,0.57695,0.86667,0.85429,0.63709,1.61502,1.06113,1.33615,1.16645e-05,1.16645e-05,1.16645e-05
13,7.7005,1.03628,3.10509,1.39811,0.63539,0.9413,0.91253,0.65248,1.62078,1.07438,1.33978,1.25835e-05,1.25835e-05,1.25835e-05
14,8.28707,1.01986,2.57858,1.43306,0.65155,0.9405,0.91361,0.65305,1.62249,1.08538,1.33969,1.3479e-05,1.3479e-05,1.3479e-05
15,8.81835,1.20709,2.3385,1.39015,0.6358,0.93873,0.91219,0.64659,1.61021,1.08749,1.33993,1.43509e-05,1.43509e-05,1.43509e-05
16,9.34684,1.08605,1.87274,1.38624,0.64678,0.93825,0.91419,0.64745,1.59318,1.09423,1.33469,1.51993e-05,1.51993e-05,1.51993e-05
17,9.94982,0.89837,1.56687,1.21677,0.65805,0.77292,0.91436,0.64309,1.5967,1.10543,1.34113,1.60241e-05,1.60241e-05,1.60241e-05
18,10.4223,0.992,1.77721,1.38088,0.65805,0.77292,0.91436,0.64309,1.5967,1.10543,1.34113,1.68253e-05,1.68253e-05,1.68253e-05
19,10.9579,0.923,1.40058,1.21168,0.86382,0.63278,0.87345,0.64078,1.62273,1.13131,1.3557,1.7603e-05,1.7603e-05,1.7603e-05
20,11.4486,0.79276,1.68261,1.234,0.86382,0.63278,0.87345,0.64078,1.62273,1.13131,1.3557,1.83571e-05,1.83571e-05,1.83571e-05
21,11.9778,0.87628,1.88252,1.31052,0.86758,0.6324,0.85514,0.63954,1.61972,1.15924,1.3551,1.90876e-05,1.90876e-05,1.90876e-05
22,12.4743,0.8092,1.59089,1.12577,0.86758,0.6324,0.85514,0.63954,1.61972,1.15924,1.3551,1.97946e-05,1.97946e-05,1.97946e-05
23,13.0445,1.09696,2.23448,1.37667,0.86675,0.65,0.88086,0.63991,1.62153,1.18343,1.35707,2.0478e-05,2.0478e-05,2.0478e-05
24,13.5562,1.04238,2.37553,1.4661,0.86675,0.65,0.88086,0.63991,1.62153,1.18343,1.35707,2.11379e-05,2.11379e-05,2.11379e-05
25,14.1221,0.74777,1.71744,1.13511,0.86205,0.65,0.85536,0.6291,1.64042,1.23724,1.36501,2.17741e-05,2.17741e-05,2.17741e-05
26,14.6703,0.87534,1.56174,1.15956,0.86205,0.65,0.85536,0.6291,1.64042,1.23724,1.36501,2.23869e-05,2.23869e-05,2.23869e-05
27,15.2395,0.94786,1.6018,1.3476,0.8367,0.65,0.85554,0.61904,1.63676,1.27974,1.3642,2.2976e-05,2.2976e-05,2.2976e-05
28,15.7569,1.09924,1.63836,1.49805,0.8367,0.65,0.85554,0.61904,1.63676,1.27974,1.3642,2.35417e-05,2.35417e-05,2.35417e-05
29,16.3173,1.01455,1.34401,1.3695,0.79378,0.65,0.85269,0.60246,1.6447,1.34006,1.37235,2.40837e-05,2.40837e-05,2.40837e-05
30,16.821,1.29565,2.72183,1.69015,0.79378,0.65,0.85269,0.60246,1.6447,1.34006,1.37235,2.46022e-05,2.46022e-05,2.46022e-05
31,17.3993,0.79789,1.37401,1.26476,0.78888,0.65,0.85668,0.61604,1.64479,1.38825,1.3688,2.50971e-05,2.50971e-05,2.50971e-05
32,17.9364,0.80727,1.1824,1.12559,0.78888,0.65,0.85668,0.61604,1.64479,1.38825,1.3688,2.55685e-05,2.55685e-05,2.55685e-05
33,18.5175,1.03484,2.75906,1.36165,0.7533,0.65,0.76348,0.524,1.65218,1.45173,1.3681,2.60163e-05,2.60163e-05,2.60163e-05
34,19.0615,0.94752,1.04059,1.37004,0.7533,0.65,0.76348,0.524,1.65218,1.45173,1.3681,2.64405e-05,2.64405e-05,2.64405e-05
35,19.5926,0.82986,1.67648,1.27653,0.74477,0.65801,0.76445,0.55886,1.67171,1.49404,1.38107,2.68412e-05,2.68412e-05,2.68412e-05
36,20.0831,0.80616,1.58512,1.14977,0.74477,0.65801,0.76445,0.55886,1.67171,1.49404,1.38107,2.72183e-05,2.72183e-05,2.72183e-05
37,20.6318,0.86336,1.28184,1.33611,0.65586,0.69116,0.76414,0.52589,1.67824,1.56802,1.38791,2.75718e-05,2.75718e-05,2.75718e-05
38,21.1465,0.72754,1.05757,1.10231,0.65586,0.69116,0.76414,0.52589,1.67824,1.56802,1.38791,2.79018e-05,2.79018e-05,2.79018e-05
39,21.8835,0.88405,1.96507,1.24549,0.63098,0.59178,0.65432,0.46716,1.69563,1.6353,1.38961,2.82082e-05,2.82082e-05,2.82082e-05
40,22.5255,0.73673,1.09479,1.08555,0.63098,0.59178,0.65432,0.46716,1.69563,1.6353,1.38961,2.84911e-05,2.84911e-05,2.84911e-05
41,23.2115,1.08883,1.97479,1.47701,0.62914,0.59064,0.62851,0.42083,1.69357,1.70279,1.38921,2.87504e-05,2.87504e-05,2.87504e-05
42,23.8232,0.83491,1.18232,1.21804,0.62914,0.59064,0.62851,0.42083,1.69357,1.70279,1.38921,2.89861e-05,2.89861e-05,2.89861e-05
43,24.531,0.72134,0.85061,1.04972,0.59178,0.50642,0.56489,0.34765,1.6783,1.73975,1.38949,2.91983e-05,2.91983e-05,2.91983e-05
44,25.1512,0.83616,1.12039,1.21528,0.59178,0.50642,0.56489,0.34765,1.6783,1.73975,1.38949,2.93869e-05,2.93869e-05,2.93869e-05
45,25.8406,0.64135,0.98319,1.17145,0.604,0.5,0.55478,0.33802,1.68808,1.78522,1.39725,2.9552e-05,2.9552e-05,2.9552e-05
46,26.4631,0.70664,0.92931,1.02863,0.604,0.5,0.55478,0.33802,1.68808,1.78522,1.39725,2.96935e-05,2.96935e-05,2.96935e-05
47,27.1622,0.75888,0.95172,1.0626,0.61585,0.5,0.5319,0.31492,1.70377,1.83629,1.40952,2.98114e-05,2.98114e-05,2.98114e-05
48,27.8036,0.71853,0.83157,1.15723,0.61585,0.5,0.5319,0.31492,1.70377,1.83629,1.40952,2.99058e-05,2.99058e-05,2.99058e-05
49,28.4872,0.99518,1.20645,1.40568,0.79201,0.5,0.53332,0.31303,1.7178,1.86607,1.4205,2.99766e-05,2.99766e-05,2.99766e-05
50,29.1126,0.94319,1.58473,1.35763,0.79201,0.5,0.53332,0.31303,1.7178,1.86607,1.4205,3.00238e-05,3.00238e-05,3.00238e-05
51,29.8104,0.67384,0.89481,1.11651,0.80463,0.49935,0.51504,0.30685,1.71523,1.88755,1.42365,3.00475e-05,3.00475e-05,3.00475e-05
52,30.4051,0.85087,1.7866,1.41545,0.80463,0.49935,0.51504,0.30685,1.71523,1.88755,1.42365,3.00476e-05,3.00476e-05,3.00476e-05
53,31.0519,0.87904,0.84527,1.28759,0.80463,0.49935,0.51504,0.30685,1.71523,1.88755,1.42365,3.00242e-05,3.00242e-05,3.00242e-05
54,31.7332,0.83477,0.89344,1.1772,0.81423,0.49892,0.52206,0.29849,1.71024,1.94676,1.43236,2.99772e-05,2.99772e-05,2.99772e-05
55,32.4033,0.77929,0.73164,1.18911,0.81423,0.49892,0.52206,0.29849,1.71024,1.94676,1.43236,2.99066e-05,2.99066e-05,2.99066e-05
56,33.0391,0.85871,1.08986,1.28628,0.81423,0.49892,0.52206,0.29849,1.71024,1.94676,1.43236,2.98125e-05,2.98125e-05,2.98125e-05
57,33.7519,0.72025,0.81198,1.12096,0.81348,0.41598,0.53031,0.30166,1.71268,1.96182,1.4324,2.96948e-05,2.96948e-05,2.96948e-05
58,34.3928,0.70041,0.88205,1.09707,0.81348,0.41598,0.53031,0.30166,1.71268,1.96182,1.4324,2.95535e-05,2.95535e-05,2.95535e-05
59,35.0433,0.64263,0.80455,1.08629,0.81348,0.41598,0.53031,0.30166,1.71268,1.96182,1.4324,2.93887e-05,2.93887e-05,2.93887e-05
60,35.7055,0.48198,0.84046,0.94391,0.83177,0.41662,0.52398,0.30381,1.72699,1.98136,1.43388,2.92003e-05,2.92003e-05,2.92003e-05
61,36.3552,0.79429,0.81959,1.27067,0.83177,0.41662,0.52398,0.30381,1.72699,1.98136,1.43388,2.89884e-05,2.89884e-05,2.89884e-05
62,36.989,0.86482,0.97974,1.28787,0.83177,0.41662,0.52398,0.30381,1.72699,1.98136,1.43388,2.87529e-05,2.87529e-05,2.87529e-05
63,37.7008,0.89708,0.73359,1.38077,0.83082,0.41577,0.52938,0.28772,1.71642,2.00861,1.42991,2.84938e-05,2.84938e-05,2.84938e-05
64,38.3285,0.71787,1.04377,1.12927,0.83082,0.41577,0.52938,0.28772,1.71642,2.00861,1.42991,2.82112e-05,2.82112e-05,2.82112e-05
65,38.9763,0.58644,0.68593,1.07817,0.83082,0.41577,0.52938,0.28772,1.71642,2.00861,1.42991,2.7905e-05,2.7905e-05,2.7905e-05
66,39.6208,0.9609,1.21808,1.23865,0.83606,0.4155,0.53015,0.28803,1.73442,2.02193,1.43999,2.75753e-05,2.75753e-05,2.75753e-05
67,40.2665,0.87677,1.2428,1.25779,0.83606,0.4155,0.53015,0.28803,1.73442,2.02193,1.43999,2.7222e-05,2.7222e-05,2.7222e-05
68,40.9852,0.94399,1.34201,1.41187,0.83606,0.4155,0.53015,0.28803,1.73442,2.02193,1.43999,2.68451e-05,2.68451e-05,2.68451e-05
69,41.6828,0.64371,0.65807,1.02881,0.83744,0.49824,0.53146,0.28781,1.74973,2.04766,1.44349,2.64447e-05,2.64447e-05,2.64447e-05
70,42.3241,1.15052,1.14581,1.48707,0.83744,0.49824,0.53146,0.28781,1.74973,2.04766,1.44349,2.60207e-05,2.60207e-05,2.60207e-05
71,43.0033,0.76297,0.63645,1.17144,0.83744,0.49824,0.53146,0.28781,1.74973,2.04766,1.44349,2.55731e-05,2.55731e-05,2.55731e-05
72,43.7072,0.68602,1.03354,1.10524,0.85757,0.40989,0.4649,0.29832,1.71474,2.09306,1.44218,2.5102e-05,2.5102e-05,2.5102e-05
73,44.3888,0.59796,0.6343,0.9574,0.85757,0.40989,0.4649,0.29832,1.71474,2.09306,1.44218,2.46073e-05,2.46073e-05,2.46073e-05
74,45.0385,0.75536,0.87579,1.23122,0.85757,0.40989,0.4649,0.29832,1.71474,2.09306,1.44218,2.40891e-05,2.40891e-05,2.40891e-05
75,45.7532,0.86946,0.85781,1.38643,0.85359,0.40898,0.45699,0.29532,1.74212,2.12125,1.44782,2.35472e-05,2.35472e-05,2.35472e-05
76,46.3925,0.61894,0.73756,1.0827,0.85359,0.40898,0.45699,0.29532,1.74212,2.12125,1.44782,2.29819e-05,2.29819e-05,2.29819e-05
77,47.0596,0.79555,1.01277,1.21157,0.85359,0.40898,0.45699,0.29532,1.74212,2.12125,1.44782,2.23929e-05,2.23929e-05,2.23929e-05
78,47.717,0.74885,0.83963,1.14992,0.85385,0.40917,0.42642,0.28048,1.7802,2.21315,1.49245,2.17805e-05,2.17805e-05,2.17805e-05
79,48.349,0.78935,0.77403,1.16067,0.85385,0.40917,0.42642,0.28048,1.7802,2.21315,1.49245,2.11444e-05,2.11444e-05,2.11444e-05
80,48.9612,0.8714,0.73694,1.324,0.85385,0.40917,0.42642,0.28048,1.7802,2.21315,1.49245,2.04848e-05,2.04848e-05,2.04848e-05
81,49.6367,0.6637,0.57876,1.16026,0.85572,0.40901,0.45529,0.28186,1.79405,2.27499,1.52459,1.98016e-05,1.98016e-05,1.98016e-05
82,50.2612,0.65668,0.6504,1.16568,0.85572,0.40901,0.45529,0.28186,1.79405,2.27499,1.52459,1.90949e-05,1.90949e-05,1.90949e-05
83,50.9009,0.60837,0.9617,1.0646,0.85572,0.40901,0.45529,0.28186,1.79405,2.27499,1.52459,1.83646e-05,1.83646e-05,1.83646e-05
84,51.5658,0.60952,0.68521,0.97573,0.85838,0.40925,0.42468,0.27891,1.83268,2.29354,1.54419,1.76107e-05,1.76107e-05,1.76107e-05
85,52.2135,0.5853,0.60109,1.07624,0.85838,0.40925,0.42468,0.27891,1.83268,2.29354,1.54419,1.68333e-05,1.68333e-05,1.68333e-05
86,52.8486,0.82317,0.99876,1.34357,0.85838,0.40925,0.42468,0.27891,1.83268,2.29354,1.54419,1.60323e-05,1.60323e-05,1.60323e-05
87,53.4935,0.53159,0.71478,1.08181,0.85838,0.40925,0.42468,0.27891,1.83268,2.29354,1.54419,1.52077e-05,1.52077e-05,1.52077e-05
88,54.1578,0.68464,0.96192,1.14339,0.86269,0.41051,0.42391,0.27625,1.84748,2.26812,1.54782,1.43596e-05,1.43596e-05,1.43596e-05
89,54.7993,0.52251,0.63895,1.05133,0.86269,0.41051,0.42391,0.27625,1.84748,2.26812,1.54782,1.34879e-05,1.34879e-05,1.34879e-05
90,55.4149,0.59703,0.54783,1.00939,0.86269,0.41051,0.42391,0.27625,1.84748,2.26812,1.54782,1.25927e-05,1.25927e-05,1.25927e-05
91,56.06,0.54887,0.52443,1.0204,0.86269,0.41051,0.42391,0.27625,1.84748,2.26812,1.54782,1.16739e-05,1.16739e-05,1.16739e-05
92,56.7325,0.55235,0.51786,0.86943,0.86199,0.4097,0.42346,0.27633,1.90054,2.24181,1.56788,1.07315e-05,1.07315e-05,1.07315e-05
93,57.3517,0.59632,0.61235,1.07295,0.86199,0.4097,0.42346,0.27633,1.90054,2.24181,1.56788,9.76562e-06,9.76562e-06,9.76562e-06
94,57.9489,0.43155,0.46052,0.89224,0.86199,0.4097,0.42346,0.27633,1.90054,2.24181,1.56788,8.77613e-06,8.77613e-06,8.77613e-06
95,58.5706,0.4631,0.43263,0.90563,0.86199,0.4097,0.42346,0.27633,1.90054,2.24181,1.56788,7.76308e-06,7.76308e-06,7.76308e-06
96,59.2147,0.58746,0.46317,0.98435,0.82947,0.50086,0.51472,0.29117,1.88052,2.06023,1.53311,6.72648e-06,6.72648e-06,6.72648e-06
97,59.8392,0.56271,0.5487,0.90293,0.82947,0.50086,0.51472,0.29117,1.88052,2.06023,1.53311,5.6663e-06,5.6663e-06,5.6663e-06
98,60.455,0.5976,0.55046,0.98347,0.82947,0.50086,0.51472,0.29117,1.88052,2.06023,1.53311,4.58257e-06,4.58257e-06,4.58257e-06
99,61.0786,0.60791,0.53114,1.04642,0.82947,0.50086,0.51472,0.29117,1.88052,2.06023,1.53311,3.47528e-06,3.47528e-06,3.47528e-06
100,61.7593,0.41909,0.46744,0.9515,0.63956,0.51667,0.53823,0.28762,1.86549,2.07426,1.53973,2.34442e-06,2.34442e-06,2.34442e-06
