epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.64878,0.9692,2.35295,1.28708,0.58291,0.85,0.87794,0.63386,1.64439,1.02764,1.37294,0,0,0
2,2.80201,1.25092,3.26259,1.64444,0.58713,0.85,0.84838,0.6303,1.67555,1.02111,1.38748,1.17822e-06,1.17822e-06,1.17822e-06
3,2.96489,1.35209,3.63907,1.61431,0.59018,0.85,0.85389,0.63388,1.69148,1.01483,1.39174,2.33288e-06,2.33288e-06,2.33288e-06
4,3.17068,1.03009,2.75286,1.27732,0.57616,0.85,0.85442,0.63555,1.68976,1.01382,1.38249,3.46397e-06,3.46397e-06,3.46397e-06
5,3.38112,1.33336,2.97704,1.62322,0.61912,0.92665,0.90685,0.64045,1.69245,1.01822,1.37965,4.5715e-06,4.5715e-06,4.5715e-06
6,3.59298,0.94902,2.27129,1.21866,0.56325,0.85,0.85657,0.63605,1.66944,1.01955,1.3664,5.65548e-06,5.65548e-06,5.65548e-06
7,3.80738,1.40999,3.84668,1.75478,0.54808,0.85162,0.85776,0.62869,1.68042,1.02201,1.36917,6.71588e-06,6.71588e-06,6.71588e-06
8,4.01146,1.43874,3.97443,1.81259,0.56594,0.8546,0.86063,0.62925,1.7061,1.03837,1.38259,7.75273e-06,7.75273e-06,7.75273e-06
9,4.22123,1.36947,2.87464,1.47873,0.55914,0.86538,0.85999,0.62909,1.7013,1.05078,1.37547,8.76602e-06,8.76602e-06,8.76602e-06
10,4.43589,1.30501,2.48384,1.6301,0.56121,0.86648,0.85905,0.62852,1.6933,1.04716,1.37025,9.75574e-06,9.75574e-06,9.75574e-06
11,4.64464,1.13575,1.77597,1.38245,0.58176,0.85818,0.85395,0.62281,1.69411,1.04911,1.37261,1.07219e-05,1.07219e-05,1.07219e-05
12,4.8591,1.331,2.75429,1.5276,0.56822,0.8639,0.85547,0.63233,1.69405,1.0551,1.36939,1.16645e-05,1.16645e-05,1.16645e-05
13,5.06909,1.01782,2.53936,1.36959,0.59012,0.86667,0.88728,0.63962,1.69993,1.07123,1.37126,1.25835e-05,1.25835e-05,1.25835e-05
14,5.28007,1.21548,2.14937,1.52283,0.59137,0.86667,0.88719,0.64222,1.69755,1.07736,1.37221,1.3479e-05,1.3479e-05,1.3479e-05
15,5.59214,1.22496,2.84074,1.51359,0.58937,0.86667,0.88751,0.64247,1.68708,1.07415,1.36635,1.43509e-05,1.43509e-05,1.43509e-05
16,5.81597,1.03155,2.14012,1.38965,0.56988,0.86667,0.89458,0.64569,1.69563,1.08192,1.36892,1.51993e-05,1.51993e-05,1.51993e-05
17,6.02847,1.07059,2.73051,1.38724,0.59097,0.86667,0.88695,0.64508,1.69672,1.07894,1.36549,1.60241e-05,1.60241e-05,1.60241e-05
18,6.22888,0.89989,2.4131,1.32074,0.59097,0.86667,0.88695,0.64508,1.69672,1.07894,1.36549,1.68253e-05,1.68253e-05,1.68253e-05
19,6.44491,1.03292,1.80761,1.50827,0.59115,0.86667,0.8799,0.61748,1.70681,1.11034,1.36938,1.7603e-05,1.7603e-05,1.7603e-05
20,6.63641,1.19075,2.53841,1.5672,0.59115,0.86667,0.8799,0.61748,1.70681,1.11034,1.36938,1.83571e-05,1.83571e-05,1.83571e-05
21,6.85598,1.05364,2.38538,1.46814,0.59707,0.86667,0.85637,0.61316,1.71996,1.131,1.37818,1.90876e-05,1.90876e-05,1.90876e-05
22,7.0502,0.99456,2.53133,1.34916,0.59707,0.86667,0.85637,0.61316,1.71996,1.131,1.37818,1.97946e-05,1.97946e-05,1.97946e-05
23,7.26965,0.95062,2.02967,1.50788,0.60564,0.86063,0.89635,0.62283,1.69593,1.15769,1.36618,2.0478e-05,2.0478e-05,2.0478e-05
24,7.4726,0.75373,1.41481,1.19708,0.60564,0.86063,0.89635,0.62283,1.69593,1.15769,1.36618,2.11379e-05,2.11379e-05,2.11379e-05
25,7.68105,0.68482,1.57135,1.0863,0.61844,0.86667,0.88855,0.61254,1.68008,1.16211,1.36734,2.17741e-05,2.17741e-05,2.17741e-05
26,7.88565,1.16467,1.84365,1.39709,0.61844,0.86667,0.88855,0.61254,1.68008,1.16211,1.36734,2.23869e-05,2.23869e-05,2.23869e-05
27,8.10248,0.93104,1.54429,1.2628,0.63106,0.86667,0.89024,0.60347,1.65219,1.18343,1.35355,2.2976e-05,2.2976e-05,2.2976e-05
28,8.30114,0.98603,1.3931,1.23795,0.63106,0.86667,0.89024,0.60347,1.65219,1.18343,1.35355,2.35417e-05,2.35417e-05,2.35417e-05
29,8.55296,1.16134,1.81589,1.58045,0.64541,0.86667,0.88278,0.60382,1.66667,1.22496,1.36995,2.40837e-05,2.40837e-05,2.40837e-05
30,8.75533,0.7372,1.70608,1.37485,0.64541,0.86667,0.88278,0.60382,1.66667,1.22496,1.36995,2.46022e-05,2.46022e-05,2.46022e-05
31,8.96316,1.19992,1.60856,1.60225,0.64916,0.86371,0.87158,0.61388,1.68329,1.26714,1.37939,2.50971e-05,2.50971e-05,2.50971e-05
32,9.17075,0.86911,2.2365,1.37013,0.64916,0.86371,0.87158,0.61388,1.68329,1.26714,1.37939,2.55685e-05,2.55685e-05,2.55685e-05
33,9.38102,0.82755,1.2169,1.24709,0.66835,0.86047,0.86692,0.61157,1.66203,1.31781,1.37398,2.60163e-05,2.60163e-05,2.60163e-05
34,9.57493,1.32629,1.60466,1.54886,0.66835,0.86047,0.86692,0.61157,1.66203,1.31781,1.37398,2.64405e-05,2.64405e-05,2.64405e-05
35,9.90147,0.76025,1.1723,1.09805,0.67404,0.68333,0.85812,0.62035,1.65663,1.34599,1.37517,2.68412e-05,2.68412e-05,2.68412e-05
36,10.1034,0.74169,1.6583,1.20728,0.67404,0.68333,0.85812,0.62035,1.65663,1.34599,1.37517,2.72183e-05,2.72183e-05,2.72183e-05
37,10.3143,1.13954,1.63773,1.66057,0.64439,0.69409,0.85588,0.61002,1.64941,1.41735,1.36947,2.75718e-05,2.75718e-05,2.75718e-05
38,10.5124,0.81099,1.43036,1.13338,0.64439,0.69409,0.85588,0.61002,1.64941,1.41735,1.36947,2.79018e-05,2.79018e-05,2.79018e-05
39,10.7219,0.55518,0.96315,0.96938,0.66881,0.69381,0.85539,0.61066,1.63213,1.49219,1.3628,2.82082e-05,2.82082e-05,2.82082e-05
40,10.9264,0.81712,1.02382,1.31833,0.66881,0.69381,0.85539,0.61066,1.63213,1.49219,1.3628,2.84911e-05,2.84911e-05,2.84911e-05
41,11.132,0.72519,0.9438,1.06864,0.67485,0.69286,0.84834,0.60149,1.57983,1.51999,1.34213,2.87504e-05,2.87504e-05,2.87504e-05
42,11.335,0.88145,1.29551,1.20958,0.67485,0.69286,0.84834,0.60149,1.57983,1.51999,1.34213,2.89861e-05,2.89861e-05,2.89861e-05
43,11.5431,0.66531,1.16259,1.17151,0.73904,0.69182,0.81897,0.52349,1.56227,1.56219,1.33398,2.91983e-05,2.91983e-05,2.91983e-05
44,11.7435,0.98743,2.16829,1.37117,0.73904,0.69182,0.81897,0.52349,1.56227,1.56219,1.33398,2.93869e-05,2.93869e-05,2.93869e-05
45,11.9741,0.78162,1.29296,1.23323,0.57868,0.52313,0.6958,0.47906,1.57596,1.61929,1.33668,2.9552e-05,2.9552e-05,2.9552e-05
46,12.2118,0.93638,1.45927,1.27433,0.57868,0.52313,0.6958,0.47906,1.57596,1.61929,1.33668,2.96935e-05,2.96935e-05,2.96935e-05
47,12.4558,1.19461,1.50784,1.49092,0.7501,0.50644,0.60144,0.37307,1.63226,1.67601,1.35993,2.98114e-05,2.98114e-05,2.98114e-05
48,12.6547,0.91288,0.76867,1.31326,0.7501,0.50644,0.60144,0.37307,1.63226,1.67601,1.35993,2.99058e-05,2.99058e-05,2.99058e-05
49,12.8717,0.72933,0.97075,1.1881,0.76802,0.5,0.55593,0.3325,1.61827,1.69382,1.36243,2.99766e-05,2.99766e-05,2.99766e-05
50,13.0755,0.78137,0.98964,1.18459,0.76802,0.5,0.55593,0.3325,1.61827,1.69382,1.36243,3.00238e-05,3.00238e-05,3.00238e-05
51,13.2868,0.85738,1.00247,1.19541,0.75067,0.505,0.51623,0.31483,1.66826,1.72811,1.3827,3.00475e-05,3.00475e-05,3.00475e-05
52,13.4865,0.74434,1.50427,1.12411,0.75067,0.505,0.51623,0.31483,1.66826,1.72811,1.3827,3.00476e-05,3.00476e-05,3.00476e-05
53,13.7062,0.8466,0.96986,1.18454,0.75067,0.505,0.51623,0.31483,1.66826,1.72811,1.3827,3.00242e-05,3.00242e-05,3.00242e-05
54,13.9226,0.74793,0.904,1.29203,0.75888,0.5,0.51347,0.31085,1.69425,1.79816,1.39661,2.99772e-05,2.99772e-05,2.99772e-05
55,14.1209,0.65058,1.23746,1.0674,0.75888,0.5,0.51347,0.31085,1.69425,1.79816,1.39661,2.99066e-05,2.99066e-05,2.99066e-05
56,14.4175,0.92029,0.98056,1.3906,0.75888,0.5,0.51347,0.31085,1.69425,1.79816,1.39661,2.98125e-05,2.98125e-05,2.98125e-05
57,14.6383,0.74923,0.69729,1.1303,0.78004,0.4969,0.54388,0.31103,1.69945,1.89124,1.41066,2.96948e-05,2.96948e-05,2.96948e-05
58,14.8355,0.84966,0.63386,1.28841,0.78004,0.4969,0.54388,0.31103,1.69945,1.89124,1.41066,2.95535e-05,2.95535e-05,2.95535e-05
59,15.0327,0.93884,0.88639,1.15288,0.78004,0.4969,0.54388,0.31103,1.69945,1.89124,1.41066,2.93887e-05,2.93887e-05,2.93887e-05
60,15.2552,0.75639,1.20099,1.18738,0.78191,0.49561,0.54151,0.29241,1.74499,1.85453,1.43003,2.92003e-05,2.92003e-05,2.92003e-05
61,15.4563,0.75418,0.86661,1.01427,0.78191,0.49561,0.54151,0.29241,1.74499,1.85453,1.43003,2.89884e-05,2.89884e-05,2.89884e-05
62,15.6588,0.58733,0.66953,0.98708,0.78191,0.49561,0.54151,0.29241,1.74499,1.85453,1.43003,2.87529e-05,2.87529e-05,2.87529e-05
63,15.8678,0.90513,1.50196,1.33726,0.78027,0.49404,0.52476,0.27638,1.74371,1.87981,1.4273,2.84938e-05,2.84938e-05,2.84938e-05
64,16.0614,0.79595,0.83366,1.23021,0.78027,0.49404,0.52476,0.27638,1.74371,1.87981,1.4273,2.82112e-05,2.82112e-05,2.82112e-05
65,16.261,0.71145,0.78144,1.16267,0.78027,0.49404,0.52476,0.27638,1.74371,1.87981,1.4273,2.7905e-05,2.7905e-05,2.7905e-05
66,16.4813,0.77913,1.42364,1.16175,0.82879,0.49343,0.52929,0.27935,1.75002,1.89305,1.43806,2.75753e-05,2.75753e-05,2.75753e-05
67,16.6822,0.84221,1.24587,1.25176,0.82879,0.49343,0.52929,0.27935,1.75002,1.89305,1.43806,2.7222e-05,2.7222e-05,2.7222e-05
68,16.8843,0.82882,0.9648,1.16086,0.82879,0.49343,0.52929,0.27935,1.75002,1.89305,1.43806,2.68451e-05,2.68451e-05,2.68451e-05
69,17.1029,0.84967,0.91097,1.21081,0.83843,0.48771,0.5308,0.31638,1.78505,2.00515,1.47402,2.64447e-05,2.64447e-05,2.64447e-05
70,17.3056,0.64577,0.65583,1.02419,0.83843,0.48771,0.5308,0.31638,1.78505,2.00515,1.47402,2.60207e-05,2.60207e-05,2.60207e-05
71,17.5029,0.72723,0.7102,1.10952,0.83843,0.48771,0.5308,0.31638,1.78505,2.00515,1.47402,2.55731e-05,2.55731e-05,2.55731e-05
72,17.7207,0.53295,0.71482,1.04651,0.83681,0.48256,0.5269,0.32606,1.78853,1.9898,1.4775,2.5102e-05,2.5102e-05,2.5102e-05
73,17.9314,0.81506,0.75316,1.2032,0.83681,0.48256,0.5269,0.32606,1.78853,1.9898,1.4775,2.46073e-05,2.46073e-05,2.46073e-05
74,18.2467,0.63324,0.6926,1.18572,0.83681,0.48256,0.5269,0.32606,1.78853,1.9898,1.4775,2.40891e-05,2.40891e-05,2.40891e-05
75,18.4592,0.78458,0.65976,1.07823,0.83842,0.47828,0.52539,0.32743,1.79836,2.08279,1.50412,2.35472e-05,2.35472e-05,2.35472e-05
76,18.6519,0.66879,0.67891,1.04125,0.83842,0.47828,0.52539,0.32743,1.79836,2.08279,1.50412,2.29819e-05,2.29819e-05,2.29819e-05
77,18.842,0.72582,0.75159,1.11416,0.83842,0.47828,0.52539,0.32743,1.79836,2.08279,1.50412,2.23929e-05,2.23929e-05,2.23929e-05
78,19.0582,0.84103,1.01957,1.25957,0.84075,0.47562,0.52403,0.30688,1.79282,2.13284,1.50189,2.17805e-05,2.17805e-05,2.17805e-05
79,19.2592,0.71902,0.88068,1.15359,0.84075,0.47562,0.52403,0.30688,1.79282,2.13284,1.50189,2.11444e-05,2.11444e-05,2.11444e-05
80,19.4559,0.63991,0.60161,1.02595,0.84075,0.47562,0.52403,0.30688,1.79282,2.13284,1.50189,2.04848e-05,2.04848e-05,2.04848e-05
81,19.6745,0.79868,0.90751,1.27969,0.84668,0.47055,0.52225,0.31019,1.77328,2.12431,1.48687,1.98016e-05,1.98016e-05,1.98016e-05
82,19.8713,0.75876,0.6301,1.27705,0.84668,0.47055,0.52225,0.31019,1.77328,2.12431,1.48687,1.90949e-05,1.90949e-05,1.90949e-05
83,20.0746,0.86177,0.68954,1.36772,0.84668,0.47055,0.52225,0.31019,1.77328,2.12431,1.48687,1.83646e-05,1.83646e-05,1.83646e-05
84,20.2849,0.74419,0.73589,1.12392,0.83707,0.47029,0.51519,0.30339,1.77415,2.15562,1.49038,1.76107e-05,1.76107e-05,1.76107e-05
85,20.4885,0.76482,0.89816,1.16879,0.83707,0.47029,0.51519,0.30339,1.77415,2.15562,1.49038,1.68333e-05,1.68333e-05,1.68333e-05
86,20.6872,0.6703,1.0467,1.10305,0.83707,0.47029,0.51519,0.30339,1.77415,2.15562,1.49038,1.60323e-05,1.60323e-05,1.60323e-05
87,20.8876,1.15179,1.78238,1.6298,0.83707,0.47029,0.51519,0.30339,1.77415,2.15562,1.49038,1.52077e-05,1.52077e-05,1.52077e-05
88,21.1139,0.6209,0.84038,1.06632,0.86864,0.46317,0.51571,0.3081,1.7499,2.18926,1.46573,1.43596e-05,1.43596e-05,1.43596e-05
89,21.3133,0.62603,0.74336,1.27903,0.86864,0.46317,0.51571,0.3081,1.7499,2.18926,1.46573,1.34879e-05,1.34879e-05,1.34879e-05
90,21.5172,0.85292,0.81861,1.26955,0.86864,0.46317,0.51571,0.3081,1.7499,2.18926,1.46573,1.25927e-05,1.25927e-05,1.25927e-05
91,23.3861,0.50844,0.49076,0.94126,0.86864,0.46317,0.51571,0.3081,1.7499,2.18926,1.46573,1.16739e-05,1.16739e-05,1.16739e-05
92,23.6287,0.48318,0.48363,0.83272,0.83754,0.47375,0.50958,0.30008,1.78525,2.13143,1.4737,1.07315e-05,1.07315e-05,1.07315e-05
93,23.8334,0.58213,0.5239,0.95906,0.83754,0.47375,0.50958,0.30008,1.78525,2.13143,1.4737,9.76562e-06,9.76562e-06,9.76562e-06
94,24.036,0.59294,0.50997,1.04546,0.83754,0.47375,0.50958,0.30008,1.78525,2.13143,1.4737,8.77613e-06,8.77613e-06,8.77613e-06
95,24.2406,0.63574,0.61289,1.03609,0.83754,0.47375,0.50958,0.30008,1.78525,2.13143,1.4737,7.76308e-06,7.76308e-06,7.76308e-06
