epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.63556,2.61489,7.59666,0.00512,0,0,0,0,2.20223,7.6025,0.00868,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,9.33209,2.75179,7.24576,0.00562,0,0,0,0,2.20387,7.60816,0.00855,0.000148545,4.95149e-05,0.000148545,4.95149e-05,0.000148545,4.95149e-05,0.000148545,4.95149e-05
3,12.2446,2.46994,7.73836,0.00516,0,0,0,0,2.4213,7.77051,0.0096,0.000245099,8.16997e-05,0.000245099,8.16997e-05,0.000245099,8.16997e-05,0.000245099,8.16997e-05
4,15.2437,2.46832,6.90428,0.0057,0,0,0,0,2.37232,7.74264,0.00952,0.000339673,0.000113224,0.000339673,0.000113224,0.000339673,0.000113224,0.000339673,0.000113224
5,18.3009,2.40305,7.46803,0.00508,0,0,0,0,2.33138,7.71366,0.0093,0.000432266,0.000144089,0.000432266,0.000144089,0.000432266,0.000144089,0.000432266,0.000144089
6,21.1734,2.3694,9.02097,0.00576,0,0,0,0,2.32301,7.69976,0.00915,0.00052288,0.000174293,0.00052288,0.000174293,0.00052288,0.000174293,0.00052288,0.000174293
7,23.7242,2.49639,6.88297,0.00554,0,0,0,0,2.49491,7.78055,0.00933,0.000611512,0.000203837,0.000611512,0.000203837,0.000611512,0.000203837,0.000611512,0.000203837
8,26.0452,2.1522,7.46693,0.00391,0,0,0,0,2.38912,7.70222,0.00897,0.000698165,0.000232722,0.000698165,0.000232722,0.000698165,0.000232722,0.000698165,0.000232722
9,28.2004,2.2582,7.14451,0.0053,0,0,0,0,2.31465,7.64894,0.00867,0.000782837,0.000260946,0.000782837,0.000260946,0.000782837,0.000260946,0.000782837,0.000260946
10,30.3013,1.99779,7.42334,0.00366,0,0,0,0,1.69645,7.10531,0.00599,0.000865528,0.000288509,0.000865528,0.000288509,0.000865528,0.000288509,0.000865528,0.000288509
11,32.3358,2.11857,7.5092,0.00468,0,0,0,0,1.76613,6.9598,0.0068,0.000946239,0.000315413,0.000946239,0.000315413,0.000946239,0.000315413,0.000946239,0.000315413
12,34.3435,2.04615,7.98891,0.00531,0,0,0,0,1.52874,6.81769,0.00552,0.00102497,0.000341657,0.00102497,0.000341657,0.00102497,0.000341657,0.00102497,0.000341657
13,36.3799,1.6725,8.07687,0.00402,0,0,0,0,1.54819,6.81808,0.00559,0.00110172,0.00036724,0.00110172,0.00036724,0.00110172,0.00036724,0.00110172,0.00036724
14,38.491,1.8999,7.10864,0.00449,0,0,0,0,1.59769,6.83782,0.00587,0.00117649,0.000392163,0.00117649,0.000392163,0.00117649,0.000392163,0.00117649,0.000392163
15,40.4875,2.03842,7.18983,0.00402,0,0,0,0,1.60097,6.83479,0.00596,0.00124928,0.000416427,0.00124928,0.000416427,0.00124928,0.000416427,0.00124928,0.000416427
16,42.4716,1.8923,6.75118,0.00383,0,0,0,0,1.58717,6.82222,0.00594,0.00132009,0.00044003,0.00132009,0.00044003,0.00132009,0.00044003,0.00132009,0.00044003
17,44.4149,1.81482,7.53112,0.00357,0,0,0,0,1.39502,6.71578,0.0052,0.00138892,0.000462973,0.00138892,0.000462973,0.00138892,0.000462973,0.00138892,0.000462973
18,46.3824,1.53989,7.58174,0.00294,0,0,0,0,1.38675,6.70825,0.00508,0.00145577,0.000485255,0.00145577,0.000485255,0.00145577,0.000485255,0.00145577,0.000485255
19,48.4962,1.90126,6.89318,0.00421,0,0,0,0,1.45228,6.74367,0.00544,0.00152063,0.000506878,0.00152063,0.000506878,0.00152063,0.000506878,0.00152063,0.000506878
20,50.5404,1.70972,6.41672,0.00313,0,0,0,0,1.4256,6.72488,0.00528,0.00158352,0.000527841,0.00158352,0.000527841,0.00158352,0.000527841,0.00158352,0.000527841
